motif_name,motif_idx,sequence_name,start,end,strand,score,p-value,q-value,test_idx
pos_patterns.pattern_0,0,0,55,63,+,11.577720907197168,6.484985351562499e-05,0.0005122641442527239,351897
pos_patterns.pattern_2,8,0,96,103,+,11.356333897258782,7.497825299651587e-05,0.00045327762038802776,351897
pos_patterns.pattern_9,15,0,108,119,-,10.927496449759312,5.142317058925981e-05,0.00042876955713550674,351897
pos_patterns.pattern_1,1,0,166,173,+,10.921370520626356,0.00015830993652343758,0.0005410860313751671,351897
pos_patterns.pattern_9,15,1,102,115,+,14.118292609749094,7.302915037143954e-06,0.00019813370258466712,267095
pos_patterns.pattern_14,6,1,197,208,-,13.178407453231141,1.9641517491564266e-05,0.00032819988166071914,267095
pos_patterns.pattern_7,13,1,89,98,-,10.66776220986251,0.00011546889800229098,0.0005201301711814916,267095
pos_patterns.pattern_5,11,5,113,127,+,15.743874645662407,2.0899851733702226e-06,0.00017272767233104456,345167
pos_patterns.pattern_10,2,5,154,162,+,13.071789464792346,1.7655444025876983e-05,0.00034009173110863034,345167
pos_patterns.pattern_5,11,5,82,96,+,11.34795549838262,9.092472100746803e-05,0.0004576047434310282,345167
pos_patterns.pattern_2,8,7,126,135,+,10.601938998191777,0.0001387279926348128,0.0005611162635908977,150605
pos_patterns.pattern_0,0,9,50,58,-,9.297195633120324,0.0004005432128906257,0.0007072091102600111,234291
pos_patterns.pattern_0,0,9,30,39,-,8.872422436831084,0.0004959106445312505,0.0007883779239171541,234291
pos_patterns.pattern_2,8,10,137,148,-,10.646993414619907,0.00013872799263481265,0.0005611162635908977,176117
pos_patterns.pattern_2,8,10,40,48,-,8.847493452720709,0.0004644527098207615,0.000802849829437876,176117
pos_patterns.pattern_9,15,11,167,189,+,17.790328610327983,3.4142067306674853e-07,3.884486173891685e-05,119628
pos_patterns.pattern_10,2,11,124,137,+,14.485732215177649,7.21979631634895e-06,0.00023443710038658806,119628
pos_patterns.pattern_2,8,12,40,53,+,8.989867953432023,0.0004395628557176674,0.0007906536330768863,181314
pos_patterns.pattern_2,8,12,23,33,+,7.9004093266601085,0.0007237774334498678,0.0009178131110657044,181314
pos_patterns.pattern_2,8,13,224,239,+,11.934597120262413,4.090949187229851e-05,0.0003543921882117507,46903
pos_patterns.pattern_7,13,13,194,203,+,11.664941537867346,5.576619332714486e-05,0.0004161656218443646,46903
pos_patterns.pattern_3,9,13,171,191,+,7.308675717710923,0.0006532818442792626,0.000798870369575785,46903
pos_patterns.pattern_3,9,15,172,183,-,8.726187125394262,0.00030698926730110543,0.0005229508712631766,152735
pos_patterns.pattern_10,2,15,100,114,+,5.95808439528609,0.0003734369947778754,0.000932771746296825,152735
pos_patterns.pattern_5,11,19,149,161,-,16.02325815237527,1.3252229109639304e-06,0.0001665085053900838,209849
pos_patterns.pattern_1,1,19,51,59,-,12.590925923837322,5.722045898437507e-06,0.0002712673611111109,209849
pos_patterns.pattern_2,8,19,91,105,+,12.221534246638718,2.9319241548364537e-05,0.000304086262114001,209849
pos_patterns.pattern_1,1,19,138,143,-,9.28084858558868,0.0004997253417968737,0.0007399056535569693,209849
pos_patterns.pattern_0,0,19,123,128,-,7.644069125776111,0.0008544921874999998,0.0009374525940533978,209849
pos_patterns.pattern_2,8,20,49,63,+,11.654474510697312,5.592027628154023e-05,0.0004105056645213067,353207
pos_patterns.pattern_1,1,28,23,32,+,11.970818819063016,3.0517578125e-05,0.00036922501929012374,100923
pos_patterns.pattern_4,10,28,89,110,+,7.619122397693803,0.0007583634323964361,0.0009885824158962244,100923
pos_patterns.pattern_12,4,29,80,95,+,13.653475615316685,5.334667917923156e-06,0.0001380055396158385,216770
pos_patterns.pattern_0,0,29,221,230,+,11.452235255153104,8.010864257812497e-05,0.0005122641442527239,216770
pos_patterns.pattern_1,1,30,6,16,+,11.302573570802352,9.155273437499988e-05,0.0004533365570599613,64837
pos_patterns.pattern_1,1,31,108,117,-,8.75901900178022,0.0005655288696289048,0.0007753547408136471,12503
pos_patterns.pattern_4,10,32,158,169,+,7.477852063498929,0.000832985622764681,0.0009885824158962244,235060
pos_patterns.pattern_0,0,33,218,227,-,11.706928355078606,5.3405761718750054e-05,0.0005122641442527239,42702
pos_patterns.pattern_2,8,33,60,71,+,9.56012624579336,0.0003072951931244457,0.0007046596669922635,42702
pos_patterns.pattern_1,1,34,6,25,-,8.649307372955784,0.0005769729614257796,0.0007753547408136471,353048
pos_patterns.pattern_3,9,35,104,116,+,13.307698269744945,1.2162018720118786e-05,6.38692516835686e-05,204863
pos_patterns.pattern_3,9,35,121,133,-,9.111493280192361,0.0002435041378703315,0.0004584447405066065,204863
pos_patterns.pattern_1,1,36,236,244,-,12.219437686464772,1.430511474609376e-05,0.0002929687500000002,302547
pos_patterns.pattern_14,6,36,15,40,-,11.428633099592385,6.196890353304949e-05,0.0004814259492658468,302547
pos_patterns.pattern_1,1,37,106,122,+,12.313274332643811,1.0490417480468743e-05,0.0002712673611111109,90561
pos_patterns.pattern_1,1,37,239,248,-,10.593791562433584,0.00023937225341796875,0.0006171127580563947,90561
pos_patterns.pattern_2,8,37,17,28,+,7.869570019462911,0.0007563511853732044,0.0009179334568592673,90561
pos_patterns.pattern_1,1,41,222,230,-,12.113167475292311,1.811981201171877e-05,0.0003385891879562048,213065
pos_patterns.pattern_0,0,41,50,58,+,11.572113179000532,6.484985351562499e-05,0.0005122641442527239,213065
pos_patterns.pattern_1,1,41,108,115,+,11.073315156868366,0.00013923645019531253,0.0005226470857771262,213065
neg_patterns.pattern_0,16,41,117,137,+,9.388215112201776,0.0001325607299804687,0.0009110088278006793,213065
pos_patterns.pattern_1,1,43,86,93,-,10.336624343256807,0.00028419494628906223,0.0006354052947598247,51815
pos_patterns.pattern_2,8,43,195,205,+,9.47169111330425,0.00032730436578276545,0.0007233970391347338,51815
pos_patterns.pattern_8,14,43,151,164,-,9.394721981497815,0.0002779690148599914,0.0009104187178621436,51815
pos_patterns.pattern_2,8,44,83,103,-,10.607772473401896,0.00013872799263481265,0.0005611162635908977,106576
pos_patterns.pattern_1,1,46,130,140,-,11.752016813207682,4.6730041503906284e-05,0.00036922501929012374,205260
pos_patterns.pattern_1,1,46,69,75,+,11.525601132064324,6.771087646484371e-05,0.0004012496383101855,205260
pos_patterns.pattern_4,10,46,210,221,-,8.983375979543261,0.00039147127790784003,0.00098662318380463,205260
pos_patterns.pattern_6,12,48,133,145,-,10.153399370203017,0.0001720200671115889,0.000728121373764171,176181
pos_patterns.pattern_2,8,48,160,171,+,8.770320932324479,0.0004901462807538332,0.0008118833265819903,176181
pos_patterns.pattern_0,0,49,113,121,-,9.198545870972545,0.00042724609375000043,0.0007310540368526659,278611
pos_patterns.pattern_6,12,49,126,138,-,8.245683567029147,0.0005107257138661218,0.000871019490193496,278611
pos_patterns.pattern_4,10,51,112,124,+,12.768793920892948,2.2852950678497964e-05,0.0005675841932150599,72613
pos_patterns.pattern_3,9,52,215,234,-,12.6905767369565,2.1909277165832393e-05,9.634079411277008e-05,330524
pos_patterns.pattern_3,9,52,107,127,-,10.768890937727123,8.891970810509488e-05,0.00024699384576948,330524
pos_patterns.pattern_9,15,53,100,120,+,18.44064636408466,1.5294335753424072e-07,1.997893414900989e-05,104028
pos_patterns.pattern_2,8,53,208,228,+,9.883042259997042,0.00025210059902747156,0.0006597215907420291,104028
pos_patterns.pattern_1,1,54,134,144,-,12.67442499472844,3.814697265625e-06,0.0002712673611111109,76384
pos_patterns.pattern_1,1,54,9,14,+,10.412472541903595,0.0002622604370117187,0.0006222305085727524,76384
pos_patterns.pattern_0,0,54,32,41,+,9.652800105641195,0.00032806396484375,0.0006672287261940927,76384
pos_patterns.pattern_10,2,54,21,29,+,5.901862455793342,0.0003734369947778754,0.000932771746296825,76384
pos_patterns.pattern_6,12,57,163,176,-,14.611775949721244,2.5438494049012636e-06,0.0002707677494981906,76489
pos_patterns.pattern_1,1,57,100,110,-,10.331160152026495,0.00028419494628906223,0.0006354052947598247,76489
pos_patterns.pattern_1,1,61,206,216,-,11.17413296689941,0.00012302398681640625,0.0005022988935406698,3632
pos_patterns.pattern_2,8,61,125,135,+,9.65186552813023,0.0002880951687984632,0.0006959221972791937,3632
pos_patterns.pattern_1,1,63,224,232,-,11.06297758158044,0.00013923645019531253,0.0005226470857771262,250349
pos_patterns.pattern_0,0,65,98,107,+,11.867126505516513,4.57763671875e-05,0.0005122641442527239,200055
pos_patterns.pattern_3,9,66,199,213,-,10.790207780332135,8.891970810509488e-05,0.00024699384576948,207153
pos_patterns.pattern_1,1,66,153,162,+,9.86934051713131,0.00039291381835937457,0.0006956150587828485,207153
pos_patterns.pattern_8,14,66,185,197,+,7.422795145265614,0.0008733003887755322,0.000963155275715873,207153
pos_patterns.pattern_12,4,71,80,96,+,12.312390805844927,1.388368892594112e-05,0.00019211150955662757,399869
pos_patterns.pattern_6,12,72,69,80,+,13.259333206151128,1.4816461771260905e-05,0.0004255443120402753,377606
pos_patterns.pattern_15,7,72,167,193,+,8.64952346786552,1.778802333952533e-05,7.627810438497548e-05,377606
pos_patterns.pattern_4,10,72,121,134,+,8.277213169165334,0.0005656912853737595,0.0009885824158962244,377606
pos_patterns.pattern_7,13,73,78,91,-,14.581812390453251,3.639139322331177e-06,0.0001582234487970077,39016
pos_patterns.pattern_1,1,73,18,28,-,11.457561200608293,7.915496826171879e-05,0.00042931508209745784,39016
pos_patterns.pattern_1,1,73,110,120,-,10.60202576310651,0.00021743774414062495,0.0005991825888051667,39016
pos_patterns.pattern_0,0,75,221,230,+,12.817731041433655,1.525878906250002e-05,0.0005122641442527239,67454
pos_patterns.pattern_6,12,76,86,101,+,12.805142922253156,2.161483826057517e-05,0.00044723643283278334,212800
pos_patterns.pattern_1,1,76,124,132,+,11.752016813207684,4.673004150390622e-05,0.00036922501929012374,212800
pos_patterns.pattern_1,1,76,47,55,+,11.727156285662613,4.673004150390622e-05,0.00036922501929012374,212800
pos_patterns.pattern_12,4,76,142,159,+,5.601403259610157,0.0005133057397392176,0.0007665537490189473,212800
pos_patterns.pattern_1,1,77,75,85,+,12.089678817358887,2.2888183593750027e-05,0.00036922501929012374,9217
pos_patterns.pattern_1,1,77,192,202,+,11.954943836417621,3.0517578125e-05,0.00036922501929012374,9217
pos_patterns.pattern_1,1,77,97,107,-,10.821117824683043,0.00017738342285156266,0.0005690495770676698,9217
pos_patterns.pattern_0,0,77,116,125,+,9.422874112589822,0.00035858154296875005,0.0006780407355332799,9217
pos_patterns.pattern_7,13,78,127,143,-,10.655000837193061,0.00011546889800229098,0.0005201301711814916,11952
pos_patterns.pattern_1,1,79,178,186,+,12.079909196093915,2.2888183593750027e-05,0.00036922501929012374,228196
pos_patterns.pattern_1,1,79,69,77,+,10.234406046238727,0.0003070831298828123,0.0006438434172809168,228196
pos_patterns.pattern_6,12,79,204,222,-,9.435952895884647,0.00026388999867776864,0.0007849751123459206,228196
pos_patterns.pattern_15,7,81,164,189,-,25.5985038011458,2.4831342554149154e-09,7.362631532040656e-08,106682
pos_patterns.pattern_5,11,81,25,37,-,10.169336951831815,0.0001432078552170425,0.0005370919386761332,106682
pos_patterns.pattern_3,9,83,67,78,+,10.530947205191724,0.00010162533089896887,0.00026862979902064033,21527
pos_patterns.pattern_12,4,83,211,240,-,7.1915877535038994,0.0002689090301194089,0.0006137019783273085,21527
pos_patterns.pattern_5,11,84,29,42,+,13.316647496426357,2.716125527513216e-05,0.0003345506109890895,118377
pos_patterns.pattern_2,8,84,9,21,+,11.626857888907196,5.592027628154023e-05,0.0004105056645213067,118377
pos_patterns.pattern_12,4,85,157,187,+,12.608612443707147,1.1233295646317683e-05,0.00017457715062281067,362557
pos_patterns.pattern_7,13,85,100,117,-,10.932676042087209,9.367058191855896e-05,0.0004815968222033885,362557
pos_patterns.pattern_3,9,86,16,28,-,14.184030537364096,5.84117151447572e-06,3.792699987148846e-05,335955
pos_patterns.pattern_12,4,87,41,60,-,13.84240579508355,4.5623979861907965e-06,0.00013288382945793475,336356
pos_patterns.pattern_3,9,87,111,122,+,10.418087013374985,0.0001085504391085122,0.0002795963165804006,336356
pos_patterns.pattern_0,0,110,222,231,+,12.692245389389592,1.525878906250002e-05,0.0005122641442527239,251116
pos_patterns.pattern_1,1,110,117,124,+,10.821117824683045,0.00017738342285156266,0.0005690495770676698,251116
pos_patterns.pattern_10,2,112,18,31,-,16.56342979353727,1.3828557712258782e-06,0.00011225825599987219,142109
pos_patterns.pattern_2,8,112,61,67,-,12.452267524177975,2.319759914826136e-05,0.0002850531069251033,142109
pos_patterns.pattern_2,8,112,71,79,-,8.411596048443286,0.0005719929858969409,0.000861609687616911,142109
pos_patterns.pattern_6,12,115,222,234,-,14.331286921027372,4.041309694002845e-06,0.0002707677494981906,84033
pos_patterns.pattern_12,4,115,150,163,+,13.56683804616144,5.763007529654361e-06,0.00013955189744773531,84033
pos_patterns.pattern_6,12,115,207,220,-,13.407537569234488,1.2102818800485647e-05,0.0004255443120402753,84033
pos_patterns.pattern_6,12,116,125,139,-,10.484529411156085,0.0001415401484337053,0.0006773707103613039,365396
pos_patterns.pattern_0,0,117,17,26,-,10.042697446444702,0.00024795532226562527,0.0006391184173361236,34354
pos_patterns.pattern_2,8,118,26,38,-,11.54607453927476,6.179176034493136e-05,0.0004208167775297886,239436
pos_patterns.pattern_0,0,118,8,20,+,9.237908855277787,0.00040054321289062516,0.0007072091102600111,239436
pos_patterns.pattern_2,8,121,41,53,-,11.177140513310652,9.024685277836384e-05,0.00048011325678089624,398857
pos_patterns.pattern_4,10,122,135,152,-,8.762916077402286,0.00043630693380691804,0.0009867468263646752,153056
pos_patterns.pattern_5,11,123,71,84,-,11.754807565007715,7.510134128096976e-05,0.00042583847602322957,241672
pos_patterns.pattern_0,0,123,105,116,+,9.133468514270477,0.00042724609375000043,0.0007310540368526659,241672
pos_patterns.pattern_2,8,126,58,64,+,14.737172739761736,6.311001925496383e-07,8.918234595967077e-05,237732
