motif_name,motif_idx,sequence_name,start,end,strand,score,p-value,q-value,test_idx
pos_patterns.pattern_1,1,0,94,128,+,16.508947901384378,1.6073529885765616e-06,7.414456435918383e-06,13521
pos_patterns.pattern_3,3,0,149,179,-,15.648177308520857,3.5882859911705265e-06,4.7455551904171465e-05,13521
pos_patterns.pattern_2,2,1,114,144,-,11.514114518778154,6.912772856921325e-05,0.00021146553188298702,19552
pos_patterns.pattern_0,0,1,23,43,-,8.982918063046966,0.0003095935908277165,0.0004760066406085222,19552
pos_patterns.pattern_2,2,1,54,84,+,8.728441161342401,0.0002631464723266638,0.00045912756511486087,19552
pos_patterns.pattern_1,1,2,90,120,+,18.95679602400918,2.2680944476369266e-07,2.591443297094909e-06,3844
pos_patterns.pattern_1,1,2,125,155,+,13.797021056006257,9.769033997023691e-06,2.8714258239272878e-05,3844
pos_patterns.pattern_1,1,2,169,199,-,8.64294263904687,0.0001367845715134798,0.0002483749187710131,3844
pos_patterns.pattern_2,2,3,30,60,-,12.225291165075198,4.486232985430502e-05,0.00016678483395595695,51146
pos_patterns.pattern_0,0,3,9,29,-,6.982749733336474,0.0006636004554820821,0.0007634857770015416,51146
pos_patterns.pattern_1,1,4,125,155,+,11.563388528770782,3.3367437515870085e-05,7.680025907578381e-05,118123
pos_patterns.pattern_0,0,4,13,38,+,6.308481979455543,0.0008166900033756965,0.0008708734605334788,118123
pos_patterns.pattern_1,1,5,35,65,-,18.545213164152994,3.3037360636783927e-07,3.0927411554098567e-06,38007
pos_patterns.pattern_0,0,6,223,234,-,13.990924318031666,1.2914289982290952e-05,9.743451959580222e-05,271183
pos_patterns.pattern_0,0,6,150,176,-,11.825495550389505,6.0465627029771e-05,0.00017498468688714866,271183
pos_patterns.pattern_0,0,6,192,200,+,10.624724156864099,0.00012638614316529118,0.0002774783759394085,271183
pos_patterns.pattern_4,4,7,9,39,+,10.355604945512336,5.941942050252343e-05,0.00014683032405986336,72232
pos_patterns.pattern_0,0,7,50,70,-,9.036511644059022,0.00029602724498545237,0.00046246594935242535,72232
pos_patterns.pattern_0,0,7,208,226,+,8.494112904218367,0.00038196472905838093,0.0005363564281697825,72232
pos_patterns.pattern_0,0,7,228,248,+,6.408671993344317,0.0007891790792200473,0.0008514477515205524,72232
pos_patterns.pattern_2,2,8,73,103,-,13.808526811296792,1.3488847543306235e-05,9.615444533164193e-05,66972
pos_patterns.pattern_0,0,8,38,58,-,13.724274640479464,1.571869961480843e-05,0.00010141249560338678,66972
pos_patterns.pattern_2,2,9,28,58,+,13.789281762109786,1.4685057202507922e-05,9.669736818939538e-05,206986
pos_patterns.pattern_0,0,9,98,122,+,11.861569396064125,6.0465627029770924e-05,0.00017498468688714866,206986
pos_patterns.pattern_0,0,9,154,174,+,11.299106840094808,8.795335998001969e-05,0.0002201580396377308,206986
pos_patterns.pattern_0,0,9,77,97,-,8.086823890974316,0.00044599323427973965,0.0005893580489256068,206986
pos_patterns.pattern_3,3,10,97,118,+,15.227058630588875,4.686168195968701e-06,5.77427359171558e-05,2905
pos_patterns.pattern_3,3,10,123,145,+,14.834931156624057,6.061952769408405e-06,6.730766020011266e-05,2905
pos_patterns.pattern_0,0,10,153,173,+,7.568121100678159,0.0005361482235457511,0.0006576737868398818,2905
pos_patterns.pattern_3,3,11,89,130,-,14.161636622302849,9.320251437865463e-06,8.703495427744237e-05,218918
pos_patterns.pattern_0,0,11,161,181,-,13.703337321007968,1.571869961480843e-05,0.00010141249560338678,218918
pos_patterns.pattern_0,0,12,10,36,-,11.450761850662236,7.770328193146262e-05,0.0002023187767058345,94207
pos_patterns.pattern_1,1,13,103,133,+,14.607310721783286,5.650369707326646e-06,1.8930862718682354e-05,207374
pos_patterns.pattern_1,1,13,181,211,-,13.056139313415404,1.4685342260949126e-05,3.990114946023738e-05,207374
pos_patterns.pattern_1,1,14,216,246,+,16.053637444564487,2.2737951602402875e-06,9.504719731736136e-06,18085
pos_patterns.pattern_0,0,14,1,20,-,14.319484818765993,8.122298822854659e-06,9.5291060211645e-05,18085
pos_patterns.pattern_0,0,14,32,52,+,9.11409863021601,0.00028276149805606067,0.00044929372820453847,18085
pos_patterns.pattern_2,2,15,135,164,-,12.61151755054056,3.422117314978019e-05,0.00013994658703883793,217416
pos_patterns.pattern_4,4,15,107,130,-,5.740340683577288,0.0003211181832733604,0.0005390198076374264,217416
pos_patterns.pattern_3,3,16,80,117,-,16.136983316044365,2.5323071571213204e-06,3.8650198663978576e-05,204547
pos_patterns.pattern_1,1,16,26,56,+,10.80894403130377,4.7817651855932316e-05,0.00010455125449952632,204547
pos_patterns.pattern_0,0,17,207,235,+,14.58154112024527,6.173011570354011e-06,9.5291060211645e-05,223697
pos_patterns.pattern_2,2,17,134,164,+,13.614231361291735,1.5964739314145787e-05,9.767403501646675e-05,223697
pos_patterns.pattern_3,3,18,140,160,-,17.733819511272188,7.252166316206616e-07,1.8692828688508073e-05,19026
pos_patterns.pattern_1,1,18,115,138,+,16.542354079049392,1.6073529885765616e-06,7.414456435918383e-06,19026
pos_patterns.pattern_3,3,18,166,186,-,14.391542121230984,8.262620969853842e-06,8.012046284011825e-05,19026
pos_patterns.pattern_3,3,19,11,41,+,19.093375618342822,2.1627080184008464e-07,9.338462315351347e-06,289356
pos_patterns.pattern_1,1,19,65,87,-,16.277409867284394,1.9824393758007016e-06,8.477687004383807e-06,289356
pos_patterns.pattern_0,0,19,42,62,-,7.998212742349388,0.00046303065664687844,0.0006028046287203475,289356
pos_patterns.pattern_1,1,20,150,180,-,17.83952812842261,6.021086568427931e-07,4.102440634390651e-06,216387
pos_patterns.pattern_0,0,20,100,121,-,13.974612045939448,1.2914289982290952e-05,9.743451959580222e-05,216387
pos_patterns.pattern_3,3,20,73,86,-,11.960859442436195,3.153241719815092e-05,0.0001739102310972254,216387
pos_patterns.pattern_5,5,21,68,98,+,21.020032169809106,4.5994909055047053e-08,2.6958127251708135e-06,17316
pos_patterns.pattern_0,0,22,210,235,-,12.679092218905083,3.6257208194001605e-05,0.0001326397468044109,259170
pos_patterns.pattern_2,2,23,111,135,-,15.348260246150666,3.131411947051957e-06,5.9344075191692106e-05,211686
pos_patterns.pattern_0,0,23,83,97,-,9.06596285094805,0.00029602724498545237,0.00046246594935242535,211686
pos_patterns.pattern_3,3,23,65,73,+,8.09166115526478,0.00019017347870564448,0.0004894327123896675,211686
pos_patterns.pattern_0,0,24,19,30,+,12.211797655564617,4.693138453149003e-05,0.00014775207118333136,62390
pos_patterns.pattern_0,0,24,73,84,-,9.126737357180435,0.00028276149805606067,0.00044929372820453847,62390
pos_patterns.pattern_0,0,24,44,55,+,6.762627676532607,0.0007115404005162416,0.0007962150738982127,62390
pos_patterns.pattern_0,0,25,150,163,-,13.381292286826113,2.2105475181888323e-05,0.00011295809748322695,286195
pos_patterns.pattern_0,0,25,180,193,-,12.418842844246193,4.129025819565873e-05,0.00013943887614995231,286195
pos_patterns.pattern_5,5,25,238,248,+,9.74417517986813,5.681702596461484e-05,0.0002309902211663535,286195
pos_patterns.pattern_4,4,25,202,232,+,7.716361338735265,0.0001640035047178713,0.00032523901779493464,286195
pos_patterns.pattern_1,1,26,10,40,-,17.899257887462078,6.021086568427931e-07,4.102440634390651e-06,328150
pos_patterns.pattern_3,3,26,24,54,+,9.981497012843363,8.335037329931883e-05,0.0003202175558236948,328150
pos_patterns.pattern_4,4,26,61,91,-,4.9822380987244035,0.0004124817570415782,0.0006245696707781629,328150
pos_patterns.pattern_1,1,27,115,145,+,11.678891095083152,3.165933621830642e-05,7.370637522924438e-05,219904
pos_patterns.pattern_3,3,27,207,237,-,5.426853506025283,0.0005188989306592106,0.0007636112431372943,219904
pos_patterns.pattern_3,3,27,174,204,-,4.413183673984398,0.0007395385219440073,0.0008780607785807579,219904
pos_patterns.pattern_1,1,27,66,96,-,3.9909547516278807,0.0009403327322564309,0.0009641331465565259,219904
pos_patterns.pattern_2,2,28,99,129,+,13.94218332678678,1.237227935554921e-05,9.30315586380168e-05,281721
pos_patterns.pattern_3,3,28,17,47,+,5.103309330816899,0.0005780842774949353,0.0007955548269965723,281721
pos_patterns.pattern_6,6,28,33,73,-,-24.579289671456557,0.0008305680390595878,0.00094883267242386,281721
pos_patterns.pattern_0,0,29,205,225,-,14.248895513993052,9.212608347297661e-06,9.5291060211645e-05,226454
pos_patterns.pattern_2,2,29,179,209,+,11.46423288919723,7.324029519768448e-05,0.00021610522545038294,226454
pos_patterns.pattern_3,3,30,1,31,+,17.765804627369484,7.252166316206616e-07,1.8692828688508073e-05,8240
pos_patterns.pattern_5,5,30,102,132,-,16.981060759338522,1.3986244980198133e-06,1.954369331670075e-05,8240
